unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri"7C2D0700-8627-4963-E053-6B04A8C07B97","460000","2018-11-19","OX1 1JS","T","N","F","","7","WOODBINE PLACE","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/7C2D0700-8627-4963-E053-6B04A8C07B97/current"
"98C75472-3958-72E9-E053-6B04A8C042F0","750000","2019-10-31","OX1 4PJ","T","N","F","","28","CHILSWELL ROAD","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/98C75472-3958-72E9-E053-6B04A8C042F0/current"
"87E1551E-7A63-6405-E053-6C04A8C0B2EE","570000","2019-04-04","OX1 4PJ","T","N","F","","32","CHILSWELL ROAD","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/87E1551E-7A63-6405-E053-6C04A8C0B2EE/current"
"773788C3-0A4B-2CE4-E053-6C04A8C05E57","545000","2018-08-15","OX1 4PT","T","N","F","","25","NEWTON ROAD","GRANDPONT","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/773788C3-0A4B-2CE4-E053-6C04A8C05E57/current"
"80E1AA98-8386-7BF8-E053-6C04A8C00BF2","588000","2018-11-21","OX1 4QB","T","N","F","","9","EDITH ROAD","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/80E1AA98-8386-7BF8-E053-6C04A8C00BF2/current"
"79A74E22-02B3-1289-E053-6B04A8C01627","617000","2018-08-17","OX1 4QB","T","N","F","","31","EDITH ROAD","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/79A74E22-02B3-1289-E053-6B04A8C01627/current"
"68FEB20B-D7A7-38DA-E053-6C04A8C051AE","317000","2018-02-28","OX1 4RE","T","N","F","","49","VICARAGE ROAD","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/68FEB20B-D7A7-38DA-E053-6C04A8C051AE/current"
"726BF13B-2776-0A46-E053-6C04A8C01D0D","306000","2018-06-15","OX1 4RF","T","N","F","","1","GREEN PLACE","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/726BF13B-2776-0A46-E053-6C04A8C01D0D/current"
"85866A65-1FAC-143F-E053-6B04A8C06A15","595000","2019-03-13","OX1 4RF","T","N","F","","1A","GREEN PLACE","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/85866A65-1FAC-143F-E053-6B04A8C06A15/current"
"93E6821E-B362-40FD-E053-6B04A8C0C1DF","375000","2019-08-14","OX1 4RG","T","N","F","","4","SCHOOL PLACE","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/93E6821E-B362-40FD-E053-6B04A8C0C1DF/current"
"98C75472-3682-72E9-E053-6B04A8C042F0","385000","2019-11-08","OX1 4RG","T","N","F","","7","SCHOOL PLACE","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/98C75472-3682-72E9-E053-6B04A8C042F0/current"
